,scenario,team_name,solver_id,orders_fulfillment_ratio,total_cost,total_distance,solution_runtime_sec,unique_orders_served
0,1,robin_testcase_solver_4.py,4,1,913.1689309604672,6.584465480233594,19.852,18
1,2,robin_testcase_solver_4.py,4,1,1589.4345779506586,25.80877789754439,31.993,30
2,1,VibeCoders_solver_4.py,4,1,2187.6852650401684,17.3378829736076,3.35,18
3,4,robin_testcase_solver_4.py,4,1,3375.834540917814,251.8361458875408,29.743,27
4,5,robin_testcase_solver_4.py,4,1,4026.412681000384,247.53829212333875,48.12,50
5,6,robin_testcase_solver_4.py,4,1,6975.499896803526,389.9306740323551,35.621,35
6,5,VibeCoders_solver_4.py,4,1,8778.038718559135,886.6791230648142,20.748,50
7,6,VibeCoders_solver_4.py,4,0.9714285714285714,7216.440905478458,740.1783029825057,10.242,34
8,2,VibeCoders_solver_4.py,4,0.9,3481.4146546592624,52.55652938784373,3.42,27
9,4,VibeCoders_solver_4.py,4,0.1111111111111111,603.4099821314651,151.70499106573251,4.46,3
10,3,robin_testcase_solver_4.py,4,0,0,0,3.083,0
11,3,VibeCoders_solver_4.py,4,0,0,0,3.332,0
